Datum	Zeme	Latitude	Longitude	Production country appearances	Kumulativne	Kontinent	Filmy celkem	Koprodukcni filmy	Podil koprodukci	Koprodukce s Ceskem	Prvni vyskyt	Posledni vyskyt	Nejvyraznejsi rok	Top koprodukcni partneri	Ukazkove filmy	Ceny	Reziseri	DetailKey	Metric
01/07/1992	Australia	-25.3	133.8	1	1	Oceanie	96	18	18.8 %	1	1992	2025	1997 (23)	USA (9); United Kingdom (4); France (3); Canada (2); Italy (1); Bhutan (1); Argentina (1); Denmark (1)	2025: Archipelago of Earthen Bones – To Bunya; 2025: Dangerous Animals; 2025: Lesbian Space Princess; 2024: Porcelain War; 2023: Limbo	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Australia	Production country appearances in KVIFF catalogue
01/07/1992	Austria	47.5	14.5	1	1	Evropa	192	88	45.8 %	6	1992	2025	2003 (11)	Germany (51); France (23); Switzerland (7); Luxembourg (6); Slovak Republic (6); Czech Republic (6); USA (5); Hungary (5)	2025: Perla; 2025: bluish; 2025: Perseidas; 2024: Village Next To Paradise; 2024: I’m Not Everything I Want to Be	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Austria	Production country appearances in KVIFF catalogue
01/07/1992	Belgium	50.5	4.5	2	2	Evropa	212	144	67.9 %	0	1992	2025	1999 (24)	France (107); Netherlands (23); Italy (16); Germany (12); United Kingdom (11); Luxembourg (11); Switzerland (6); Qatar (5)	2025: Mysterious Gaze of the Flamingo; 2025: Renovation; 2025: Vermiglio; 2025: Kika; 2025: Merckx	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Belgium	Production country appearances in KVIFF catalogue
01/07/1992	Canada	56.1	-106.3	1	1	Severni Amerika	219	76	34.7 %	2	1992	2025	2005 (16)	France (22); USA (15); United Kingdom (14); Germany (6); Belgium (4); Palestine (3); China (3); Lebanon (3)	2025: Things You Kill; 2025: Partition; 2025: Archipelago of Earthen Bones – To Bunya; 2025: Shattered Glass; 2025: Black Screen Too	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Canada	Production country appearances in KVIFF catalogue
01/07/1992	Czechoslovakia	49.8	15	1	1	Evropa	135	6	4.4 %	0	1992	2025	1995 (16)	Italy (2); Germany (1); France (1); Poland (1); Belgium (1)	2025: Death of the Beautiful Deer; 2025: Ecce Homo Homolka; 2025: Every Young Man; 2024: Joseph Kilian; 2024: Murdering the Devil	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Czechoslovakia	Production country appearances in KVIFF catalogue
01/07/1992	Finland	61.9	25.7	1	1	Evropa	76	40	52.6 %	2	1992	2025	1995 (6)	Germany (18); Sweden (11); Estonia (6); Russia (6); Denmark (4); United Kingdom (3); Brazil (2); Latvia (2)	2025: Fish River Anthology; 2024: Preemptive Listening; 2024: Silent Trilogy; 2023: Fallen Leaves; 2023: Sisu	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Finland	Production country appearances in KVIFF catalogue
01/07/1992	France	46.2	2.2	3	3	Evropa	985	676	68.6 %	40	1992	2025	2024 (54)	Germany (152); Italy (117); Belgium (107); USA (60); United Kingdom (51); Switzerland (47); Spain (45); Netherlands (41)	2025: Two Prosecutors; 2025: Mysterious Gaze of the Flamingo; 2025: Renoir; 2025: Anatomy of the Horses; 2025: Hurikán	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	France	Production country appearances in KVIFF catalogue
01/07/1992	Germany	51.2	10.4	1	1	Evropa	653	434	66.5 %	34	1992	2025	2015 (30)	France (152); Austria (51); USA (44); Czech Republic (34); United Kingdom (32); Netherlands (32); Italy (31); Switzerland (30)	2025: All That's Left of You; 2025: Two Prosecutors; 2025: Mysterious Gaze of the Flamingo; 2025: Sentimental Value; 2025: Yes	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Germany	Production country appearances in KVIFF catalogue
01/07/1992	Hungary	47.2	19.5	1	1	Evropa	122	54	44.3 %	7	1992	2025	2000 (10)	Germany (22); France (11); Slovak Republic (8); Czech Republic (7); Romania (6); Austria (5); United Kingdom (4); USA (4)	2025: Diamond Beauty; 2025: Jimmy Jaguar; 2024: Explanation for Everything; 2023: Infinity Pool; 2023: White Plastic Sky	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Hungary	Production country appearances in KVIFF catalogue
01/07/1992	Iran	32.4	53.7	1	1	Blizky vychod	103	25	24.3 %	1	1992	2025	2023 (13)	France (12); Germany (5); Italy (2); USA (2); United Kingdom (2); Turkey (2); Japan (1); Iraq (1)	2025: Cinema Jazireh; 2025: It Was Just an Accident; 2025: Put Your Soul on Your Hand and Walk; 2025: Tehran Another View; 2025: Bidad	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Iran	Production country appearances in KVIFF catalogue
01/07/1992	Lithuania	55.2	23.9	1	1	Evropa	60	24	40 %	1	1992	2025	2018 (11)	France (9); Germany (6); Latvia (6); Belgium (4); Netherlands (3); Poland (2); Romania (2); Estonia (2)	2025: Two Prosecutors; 2025: Renovation; 2025: Visitor; 2025: Trains; 2025: Hoofs on Skates	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Lithuania	Production country appearances in KVIFF catalogue
01/07/1992	Netherlands	52.1	5.3	1	1	Evropa	211	123	58.3 %	7	1992	2025	2002 (22)	France (41); Germany (32); Belgium (23); USA (16); United Kingdom (14); Argentina (9); Sweden (9); Denmark (8)	2025: Two Prosecutors; 2025: Blue Trail; 2025: Divia; 2025: Timestamp; 2025: January	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Netherlands	Production country appearances in KVIFF catalogue
01/07/1992	Russia	61.5	105.3	2	2	Evropa	264	77	29.2 %	4	1992	2022	1998 (19)	Germany (27); France (26); Finland (6); Estonia (6); United Kingdom (5); Italy (5); Switzerland (5); Kazakhstan (5)	2022: Captain Volkonogov Escaped; 2022: Flood; 2021: Brighton 4th; 2021: Compartment No. 6; 2021: Conference	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Russia	Production country appearances in KVIFF catalogue
