Date,Country,Latitude,Longitude,Production country appearances,Metric
01/07/1995,Germany,51.2,10.4,13,Production country appearances in KVIFF catalogue
01/07/1995,Greece,39.1,21.8,2,Production country appearances in KVIFF catalogue
01/07/1995,Hong Kong,22.3,114.2,6,Production country appearances in KVIFF catalogue
01/07/1995,Hungary,47.2,19.5,5,Production country appearances in KVIFF catalogue
01/07/1995,India,20.6,78.9,1,Production country appearances in KVIFF catalogue
01/07/1995,Iran,32.4,53.7,3,Production country appearances in KVIFF catalogue
01/07/1995,Italy,41.9,12.6,8,Production country appearances in KVIFF catalogue
01/07/1995,Japan,36.2,138.3,3,Production country appearances in KVIFF catalogue
01/07/1995,Mexico,23.6,-102.5,1,Production country appearances in KVIFF catalogue
01/07/1995,Netherlands,52.1,5.3,4,Production country appearances in KVIFF catalogue
01/07/1995,North Macedonia,41.6,21.7,1,Production country appearances in KVIFF catalogue
01/07/1995,Poland,52,19.1,6,Production country appearances in KVIFF catalogue
01/07/1995,Romania,45.9,24.9,1,Production country appearances in KVIFF catalogue
01/07/1995,Russia,61.5,105.3,16,Production country appearances in KVIFF catalogue
01/07/1995,Senegal,14.5,-14.5,1,Production country appearances in KVIFF catalogue
01/07/1995,Slovak Republic,48.7,19.7,1,Production country appearances in KVIFF catalogue
01/07/1995,South Korea,36.5,127.8,1,Production country appearances in KVIFF catalogue
01/07/1995,Sweden,60.1,18.6,4,Production country appearances in KVIFF catalogue
01/07/1995,Switzerland,46.8,8.2,3,Production country appearances in KVIFF catalogue
01/07/1995,Taiwan,23.7,121,1,Production country appearances in KVIFF catalogue
01/07/1995,Tajikistan,38.9,71,1,Production country appearances in KVIFF catalogue
01/07/1995,United Kingdom,55.4,-3.4,13,Production country appearances in KVIFF catalogue
01/07/1995,USA,39.8,-98.6,34,Production country appearances in KVIFF catalogue
01/07/1995,USSR,61.5,105.3,1,Production country appearances in KVIFF catalogue
01/07/1995,Yugoslavia,44,20.9,1,Production country appearances in KVIFF catalogue
01/07/1996,Australia,-25.3,133.8,1,Production country appearances in KVIFF catalogue
01/07/1996,Austria,47.5,14.5,5,Production country appearances in KVIFF catalogue
01/07/1996,Belgium,50.5,4.5,1,Production country appearances in KVIFF catalogue
01/07/1996,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/1996,Canada,56.1,-106.3,7,Production country appearances in KVIFF catalogue
01/07/1996,China,35.9,104.2,2,Production country appearances in KVIFF catalogue
01/07/1996,Croatia,45.1,15.2,1,Production country appearances in KVIFF catalogue
01/07/1996,Cuba,21.5,-79.4,1,Production country appearances in KVIFF catalogue
01/07/1996,Czech Republic,49.8,15.5,11,Production country appearances in KVIFF catalogue
01/07/1996,Czechoslovakia,49.8,15,2,Production country appearances in KVIFF catalogue
01/07/1996,Denmark,56.3,9.5,3,Production country appearances in KVIFF catalogue
01/07/1996,Estonia,58.6,25,3,Production country appearances in KVIFF catalogue
01/07/1996,Finland,61.9,25.7,2,Production country appearances in KVIFF catalogue
01/07/1996,France,46.2,2.2,26,Production country appearances in KVIFF catalogue
01/07/1996,Georgia,42.3,43.4,1,Production country appearances in KVIFF catalogue
01/07/1996,Germany,51.2,10.4,17,Production country appearances in KVIFF catalogue
01/07/1996,Greece,39.1,21.8,1,Production country appearances in KVIFF catalogue
01/07/1996,Hong Kong,22.3,114.2,4,Production country appearances in KVIFF catalogue
01/07/1996,Hungary,47.2,19.5,2,Production country appearances in KVIFF catalogue
01/07/1996,Iceland,64.9,-18.6,1,Production country appearances in KVIFF catalogue
01/07/1996,India,20.6,78.9,2,Production country appearances in KVIFF catalogue
01/07/1996,Iran,32.4,53.7,1,Production country appearances in KVIFF catalogue
01/07/1996,Ireland,53.4,-8.2,1,Production country appearances in KVIFF catalogue
01/07/1996,Israel,31,35,3,Production country appearances in KVIFF catalogue
01/07/1996,Italy,41.9,12.6,3,Production country appearances in KVIFF catalogue
01/07/1996,Japan,36.2,138.3,5,Production country appearances in KVIFF catalogue
01/07/1996,Kazakhstan,48,66.9,3,Production country appearances in KVIFF catalogue
01/07/1996,Latvia,56.9,24.6,1,Production country appearances in KVIFF catalogue
01/07/1996,Netherlands,52.1,5.3,2,Production country appearances in KVIFF catalogue
01/07/1996,Norway,60.5,8.5,2,Production country appearances in KVIFF catalogue
01/07/1996,Poland,52,19.1,5,Production country appearances in KVIFF catalogue
01/07/1996,Russia,61.5,105.3,7,Production country appearances in KVIFF catalogue
01/07/1996,Slovak Republic,48.7,19.7,1,Production country appearances in KVIFF catalogue
01/07/1996,Slovenia,46.2,14.9,2,Production country appearances in KVIFF catalogue
01/07/1996,Spain,40.5,-3.7,3,Production country appearances in KVIFF catalogue
01/07/1996,Sri Lanka,7.9,80.8,1,Production country appearances in KVIFF catalogue
01/07/1996,Sweden,60.1,18.6,1,Production country appearances in KVIFF catalogue
01/07/1996,Switzerland,46.8,8.2,3,Production country appearances in KVIFF catalogue
01/07/1996,Taiwan,23.7,121,2,Production country appearances in KVIFF catalogue
01/07/1996,United Kingdom,55.4,-3.4,7,Production country appearances in KVIFF catalogue
01/07/1996,USA,39.8,-98.6,39,Production country appearances in KVIFF catalogue
01/07/1996,Venezuela,6.4,-66.6,1,Production country appearances in KVIFF catalogue
01/07/1996,Vietnam,14.1,108.3,1,Production country appearances in KVIFF catalogue
01/07/1996,Yugoslavia,44,20.9,6,Production country appearances in KVIFF catalogue
01/07/1997,Albania,41.2,20.2,1,Production country appearances in KVIFF catalogue
01/07/1997,Australia,-25.3,133.8,23,Production country appearances in KVIFF catalogue
01/07/1997,Austria,47.5,14.5,3,Production country appearances in KVIFF catalogue
01/07/1997,Belarus,53.7,27.9,2,Production country appearances in KVIFF catalogue
01/07/1997,Belgium,50.5,4.5,3,Production country appearances in KVIFF catalogue
01/07/1997,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/1997,Canada,56.1,-106.3,12,Production country appearances in KVIFF catalogue
01/07/1997,Czech Republic,49.8,15.5,40,Production country appearances in KVIFF catalogue
01/07/1997,Czechoslovakia,49.8,15,4,Production country appearances in KVIFF catalogue
01/07/1997,Denmark,56.3,9.5,1,Production country appearances in KVIFF catalogue
01/07/1997,Finland,61.9,25.7,1,Production country appearances in KVIFF catalogue
01/07/1997,France,46.2,2.2,29,Production country appearances in KVIFF catalogue
01/07/1997,Georgia,42.3,43.4,2,Production country appearances in KVIFF catalogue
01/07/1997,Germany,51.2,10.4,14,Production country appearances in KVIFF catalogue
01/07/1997,Greece,39.1,21.8,1,Production country appearances in KVIFF catalogue
01/07/1997,Hungary,47.2,19.5,3,Production country appearances in KVIFF catalogue
01/07/1997,Iceland,64.9,-18.6,2,Production country appearances in KVIFF catalogue
01/07/1997,India,20.6,78.9,2,Production country appearances in KVIFF catalogue
01/07/1997,Iran,32.4,53.7,3,Production country appearances in KVIFF catalogue
01/07/1997,Israel,31,35,1,Production country appearances in KVIFF catalogue
01/07/1997,Italy,41.9,12.6,6,Production country appearances in KVIFF catalogue
01/07/1997,Japan,36.2,138.3,3,Production country appearances in KVIFF catalogue
01/07/1997,Kazakhstan,48,66.9,1,Production country appearances in KVIFF catalogue
01/07/1997,Lithuania,55.2,23.9,2,Production country appearances in KVIFF catalogue
01/07/1997,Luxembourg,49.8,6.1,1,Production country appearances in KVIFF catalogue
01/07/1997,Mexico,23.6,-102.5,1,Production country appearances in KVIFF catalogue
01/07/1997,Mongolia,46.9,103.8,1,Production country appearances in KVIFF catalogue
01/07/1997,Netherlands,52.1,5.3,3,Production country appearances in KVIFF catalogue
01/07/1997,New Zealand,-40.9,174.9,1,Production country appearances in KVIFF catalogue
01/07/1997,Palestine,31.9,35.2,1,Production country appearances in KVIFF catalogue
01/07/1997,Poland,52,19.1,6,Production country appearances in KVIFF catalogue
01/07/1997,Portugal,39.4,-8.2,1,Production country appearances in KVIFF catalogue
01/07/1997,Romania,45.9,24.9,1,Production country appearances in KVIFF catalogue
01/07/1997,Russia,61.5,105.3,16,Production country appearances in KVIFF catalogue
01/07/1997,Slovak Republic,48.7,19.7,3,Production country appearances in KVIFF catalogue
01/07/1997,Slovenia,46.2,14.9,1,Production country appearances in KVIFF catalogue
01/07/1997,South Korea,36.5,127.8,1,Production country appearances in KVIFF catalogue
01/07/1997,Spain,40.5,-3.7,7,Production country appearances in KVIFF catalogue
01/07/1997,Sweden,60.1,18.6,1,Production country appearances in KVIFF catalogue
01/07/1997,Switzerland,46.8,8.2,4,Production country appearances in KVIFF catalogue
01/07/1997,Taiwan,23.7,121,2,Production country appearances in KVIFF catalogue
01/07/1997,Tunisia,33.9,9.5,1,Production country appearances in KVIFF catalogue
01/07/1997,Turkmenistan,38.9,59.6,1,Production country appearances in KVIFF catalogue
01/07/1997,Ukraine,48.4,31.2,2,Production country appearances in KVIFF catalogue
01/07/1997,United Kingdom,55.4,-3.4,12,Production country appearances in KVIFF catalogue
01/07/1997,USA,39.8,-98.6,58,Production country appearances in KVIFF catalogue
01/07/1998,Argentina,-38.4,-63.6,4,Production country appearances in KVIFF catalogue
01/07/1998,Australia,-25.3,133.8,3,Production country appearances in KVIFF catalogue
01/07/1998,Austria,47.5,14.5,5,Production country appearances in KVIFF catalogue
01/07/1998,Belgium,50.5,4.5,2,Production country appearances in KVIFF catalogue
01/07/1998,Brazil,-14.2,-51.9,1,Production country appearances in KVIFF catalogue
01/07/1998,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/1998,Canada,56.1,-106.3,3,Production country appearances in KVIFF catalogue
01/07/1998,Chile,-35.7,-71.5,1,Production country appearances in KVIFF catalogue
01/07/1998,China,35.9,104.2,2,Production country appearances in KVIFF catalogue
01/07/1998,Czech Republic,49.8,15.5,11,Production country appearances in KVIFF catalogue
01/07/1998,Czechoslovakia,49.8,15,1,Production country appearances in KVIFF catalogue
01/07/1998,Denmark,56.3,9.5,3,Production country appearances in KVIFF catalogue
01/07/1998,Estonia,58.6,25,2,Production country appearances in KVIFF catalogue
01/07/1998,Finland,61.9,25.7,2,Production country appearances in KVIFF catalogue
01/07/1998,France,46.2,2.2,26,Production country appearances in KVIFF catalogue
01/07/1998,Germany,51.2,10.4,14,Production country appearances in KVIFF catalogue
01/07/1998,Greece,39.1,21.8,1,Production country appearances in KVIFF catalogue
01/07/1998,Hong Kong,22.3,114.2,3,Production country appearances in KVIFF catalogue
01/07/1998,Hungary,47.2,19.5,5,Production country appearances in KVIFF catalogue
01/07/1998,India,20.6,78.9,3,Production country appearances in KVIFF catalogue
01/07/1998,Iran,32.4,53.7,1,Production country appearances in KVIFF catalogue
01/07/1998,Italy,41.9,12.6,7,Production country appearances in KVIFF catalogue
01/07/1998,Japan,36.2,138.3,11,Production country appearances in KVIFF catalogue
01/07/1998,Kazakhstan,48,66.9,1,Production country appearances in KVIFF catalogue
01/07/1998,Latvia,56.9,24.6,1,Production country appearances in KVIFF catalogue
01/07/1998,Lithuania,55.2,23.9,5,Production country appearances in KVIFF catalogue
01/07/1998,Mexico,23.6,-102.5,1,Production country appearances in KVIFF catalogue
01/07/1998,Mongolia,46.9,103.8,1,Production country appearances in KVIFF catalogue
01/07/1998,Morocco,31.8,-7.1,1,Production country appearances in KVIFF catalogue
01/07/1998,Netherlands,52.1,5.3,8,Production country appearances in KVIFF catalogue
01/07/1998,Norway,60.5,8.5,1,Production country appearances in KVIFF catalogue
01/07/1998,Poland,52,19.1,4,Production country appearances in KVIFF catalogue
01/07/1998,Portugal,39.4,-8.2,2,Production country appearances in KVIFF catalogue
01/07/1998,Russia,61.5,105.3,19,Production country appearances in KVIFF catalogue
01/07/1998,Slovak Republic,48.7,19.7,2,Production country appearances in KVIFF catalogue
01/07/1998,South Korea,36.5,127.8,2,Production country appearances in KVIFF catalogue
01/07/1998,Spain,40.5,-3.7,13,Production country appearances in KVIFF catalogue
01/07/1998,Sweden,60.1,18.6,2,Production country appearances in KVIFF catalogue
01/07/1998,Switzerland,46.8,8.2,2,Production country appearances in KVIFF catalogue
01/07/1998,Taiwan,23.7,121,2,Production country appearances in KVIFF catalogue
01/07/1998,Thailand,15.9,101,2,Production country appearances in KVIFF catalogue
01/07/1998,Tunisia,33.9,9.5,1,Production country appearances in KVIFF catalogue
01/07/1998,Turkey,39,35.2,1,Production country appearances in KVIFF catalogue
01/07/1998,Turkmenistan,38.9,59.6,1,Production country appearances in KVIFF catalogue
01/07/1998,Ukraine,48.4,31.2,5,Production country appearances in KVIFF catalogue
01/07/1998,United Kingdom,55.4,-3.4,13,Production country appearances in KVIFF catalogue
01/07/1998,USA,39.8,-98.6,52,Production country appearances in KVIFF catalogue
01/07/1998,Yugoslavia,44,20.9,1,Production country appearances in KVIFF catalogue
01/07/1999,Argentina,-38.4,-63.6,1,Production country appearances in KVIFF catalogue
01/07/1999,Austria,47.5,14.5,4,Production country appearances in KVIFF catalogue
01/07/1999,Belgium,50.5,4.5,24,Production country appearances in KVIFF catalogue
01/07/1999,Brazil,-14.2,-51.9,1,Production country appearances in KVIFF catalogue
01/07/1999,Canada,56.1,-106.3,15,Production country appearances in KVIFF catalogue
01/07/1999,Croatia,45.1,15.2,1,Production country appearances in KVIFF catalogue
01/07/1999,Czech Republic,49.8,15.5,19,Production country appearances in KVIFF catalogue
01/07/1999,Denmark,56.3,9.5,1,Production country appearances in KVIFF catalogue
01/07/1999,Finland,61.9,25.7,2,Production country appearances in KVIFF catalogue
01/07/1999,France,46.2,2.2,21,Production country appearances in KVIFF catalogue
01/07/1999,Georgia,42.3,43.4,1,Production country appearances in KVIFF catalogue
01/07/1999,Germany,51.2,10.4,9,Production country appearances in KVIFF catalogue
01/07/1999,Hungary,47.2,19.5,2,Production country appearances in KVIFF catalogue
01/07/1999,Iceland,64.9,-18.6,1,Production country appearances in KVIFF catalogue
01/07/1999,Iran,32.4,53.7,3,Production country appearances in KVIFF catalogue
01/07/1999,Italy,41.9,12.6,2,Production country appearances in KVIFF catalogue
01/07/1999,Kazakhstan,48,66.9,9,Production country appearances in KVIFF catalogue
01/07/1999,Kyrgyzstan,41.2,74.8,1,Production country appearances in KVIFF catalogue
01/07/1999,Lithuania,55.2,23.9,1,Production country appearances in KVIFF catalogue
01/07/1999,Netherlands,52.1,5.3,5,Production country appearances in KVIFF catalogue
01/07/1999,Norway,60.5,8.5,1,Production country appearances in KVIFF catalogue
01/07/1999,Poland,52,19.1,4,Production country appearances in KVIFF catalogue
01/07/1999,Romania,45.9,24.9,1,Production country appearances in KVIFF catalogue
01/07/1999,Russia,61.5,105.3,6,Production country appearances in KVIFF catalogue
01/07/1999,Slovenia,46.2,14.9,1,Production country appearances in KVIFF catalogue
01/07/1999,South Korea,36.5,127.8,1,Production country appearances in KVIFF catalogue
01/07/1999,Spain,40.5,-3.7,1,Production country appearances in KVIFF catalogue
01/07/1999,Sweden,60.1,18.6,1,Production country appearances in KVIFF catalogue
01/07/1999,Switzerland,46.8,8.2,1,Production country appearances in KVIFF catalogue
01/07/1999,Tajikistan,38.9,71,1,Production country appearances in KVIFF catalogue
01/07/1999,Turkey,39,35.2,1,Production country appearances in KVIFF catalogue
01/07/1999,United Kingdom,55.4,-3.4,6,Production country appearances in KVIFF catalogue
01/07/1999,USA,39.8,-98.6,11,Production country appearances in KVIFF catalogue
01/07/1999,USSR,61.5,105.3,7,Production country appearances in KVIFF catalogue
01/07/1999,Vietnam,14.1,108.3,1,Production country appearances in KVIFF catalogue
01/07/1999,Yugoslavia,44,20.9,14,Production country appearances in KVIFF catalogue
01/07/2000,Australia,-25.3,133.8,2,Production country appearances in KVIFF catalogue
01/07/2000,Austria,47.5,14.5,6,Production country appearances in KVIFF catalogue
01/07/2000,Azerbaijan,40.1,47.6,1,Production country appearances in KVIFF catalogue
01/07/2000,Belarus,53.7,27.9,1,Production country appearances in KVIFF catalogue
01/07/2000,Belgium,50.5,4.5,6,Production country appearances in KVIFF catalogue
01/07/2000,Bhutan,27.5,90.4,1,Production country appearances in KVIFF catalogue
01/07/2000,Bosnia and Herzegovina,43.9,17.7,12,Production country appearances in KVIFF catalogue
01/07/2000,Brazil,-14.2,-51.9,2,Production country appearances in KVIFF catalogue
01/07/2000,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/2000,Canada,56.1,-106.3,7,Production country appearances in KVIFF catalogue
01/07/2000,China,35.9,104.2,4,Production country appearances in KVIFF catalogue
01/07/2000,Croatia,45.1,15.2,2,Production country appearances in KVIFF catalogue
01/07/2000,Czech Republic,49.8,15.5,21,Production country appearances in KVIFF catalogue
01/07/2000,Czechoslovakia,49.8,15,1,Production country appearances in KVIFF catalogue
01/07/2000,Denmark,56.3,9.5,5,Production country appearances in KVIFF catalogue
01/07/2000,Egypt,26.8,30.8,1,Production country appearances in KVIFF catalogue
01/07/2000,Finland,61.9,25.7,2,Production country appearances in KVIFF catalogue
01/07/2000,France,46.2,2.2,32,Production country appearances in KVIFF catalogue
01/07/2000,Germany,51.2,10.4,24,Production country appearances in KVIFF catalogue
01/07/2000,Greece,39.1,21.8,2,Production country appearances in KVIFF catalogue
01/07/2000,Hungary,47.2,19.5,10,Production country appearances in KVIFF catalogue
01/07/2000,Iceland,64.9,-18.6,1,Production country appearances in KVIFF catalogue
01/07/2000,India,20.6,78.9,2,Production country appearances in KVIFF catalogue
01/07/2000,Iran,32.4,53.7,3,Production country appearances in KVIFF catalogue
01/07/2000,Ireland,53.4,-8.2,3,Production country appearances in KVIFF catalogue
01/07/2000,Italy,41.9,12.6,11,Production country appearances in KVIFF catalogue
01/07/2000,Japan,36.2,138.3,3,Production country appearances in KVIFF catalogue
01/07/2000,Kazakhstan,48,66.9,1,Production country appearances in KVIFF catalogue
01/07/2000,Lithuania,55.2,23.9,3,Production country appearances in KVIFF catalogue
01/07/2000,Luxembourg,49.8,6.1,1,Production country appearances in KVIFF catalogue
01/07/2000,Mexico,23.6,-102.5,1,Production country appearances in KVIFF catalogue
01/07/2000,Netherlands,52.1,5.3,3,Production country appearances in KVIFF catalogue
01/07/2000,New Zealand,-40.9,174.9,2,Production country appearances in KVIFF catalogue
01/07/2000,Norway,60.5,8.5,3,Production country appearances in KVIFF catalogue
01/07/2000,Poland,52,19.1,7,Production country appearances in KVIFF catalogue
01/07/2000,Portugal,39.4,-8.2,1,Production country appearances in KVIFF catalogue
01/07/2000,Russia,61.5,105.3,17,Production country appearances in KVIFF catalogue
01/07/2000,Slovak Republic,48.7,19.7,5,Production country appearances in KVIFF catalogue
01/07/2000,Slovenia,46.2,14.9,2,Production country appearances in KVIFF catalogue
01/07/2000,South Korea,36.5,127.8,6,Production country appearances in KVIFF catalogue
01/07/2000,Spain,40.5,-3.7,6,Production country appearances in KVIFF catalogue
01/07/2000,Sweden,60.1,18.6,6,Production country appearances in KVIFF catalogue
01/07/2000,Switzerland,46.8,8.2,6,Production country appearances in KVIFF catalogue
01/07/2000,Taiwan,23.7,121,2,Production country appearances in KVIFF catalogue
01/07/2000,Thailand,15.9,101,2,Production country appearances in KVIFF catalogue
01/07/2000,Ukraine,48.4,31.2,2,Production country appearances in KVIFF catalogue
01/07/2000,United Kingdom,55.4,-3.4,11,Production country appearances in KVIFF catalogue
01/07/2000,USA,39.8,-98.6,34,Production country appearances in KVIFF catalogue
01/07/2000,Uzbekistan,41.4,64.6,2,Production country appearances in KVIFF catalogue
01/07/2000,Yugoslavia,44,20.9,2,Production country appearances in KVIFF catalogue
01/07/2000,Zimbabwe,-19,29.2,2,Production country appearances in KVIFF catalogue
01/07/2001,Albania,41.2,20.2,1,Production country appearances in KVIFF catalogue
01/07/2001,Argentina,-38.4,-63.6,6,Production country appearances in KVIFF catalogue
01/07/2001,Australia,-25.3,133.8,2,Production country appearances in KVIFF catalogue
01/07/2001,Austria,47.5,14.5,7,Production country appearances in KVIFF catalogue
01/07/2001,Belgium,50.5,4.5,6,Production country appearances in KVIFF catalogue
01/07/2001,Brazil,-14.2,-51.9,4,Production country appearances in KVIFF catalogue
01/07/2001,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/2001,Canada,56.1,-106.3,2,Production country appearances in KVIFF catalogue
01/07/2001,Chile,-35.7,-71.5,1,Production country appearances in KVIFF catalogue
01/07/2001,China,35.9,104.2,2,Production country appearances in KVIFF catalogue
01/07/2001,Croatia,45.1,15.2,2,Production country appearances in KVIFF catalogue
01/07/2001,Czech Republic,49.8,15.5,18,Production country appearances in KVIFF catalogue
01/07/2001,Czechoslovakia,49.8,15,1,Production country appearances in KVIFF catalogue
01/07/2001,Denmark,56.3,9.5,2,Production country appearances in KVIFF catalogue
01/07/2001,Finland,61.9,25.7,1,Production country appearances in KVIFF catalogue
01/07/2001,France,46.2,2.2,29,Production country appearances in KVIFF catalogue
01/07/2001,Georgia,42.3,43.4,1,Production country appearances in KVIFF catalogue
01/07/2001,Germany,51.2,10.4,24,Production country appearances in KVIFF catalogue
01/07/2001,Greece,39.1,21.8,4,Production country appearances in KVIFF catalogue
01/07/2001,Hungary,47.2,19.5,6,Production country appearances in KVIFF catalogue
01/07/2001,India,20.6,78.9,2,Production country appearances in KVIFF catalogue
01/07/2001,Iran,32.4,53.7,5,Production country appearances in KVIFF catalogue
01/07/2001,Ireland,53.4,-8.2,2,Production country appearances in KVIFF catalogue
01/07/2001,Israel,31,35,3,Production country appearances in KVIFF catalogue
01/07/2001,Italy,41.9,12.6,11,Production country appearances in KVIFF catalogue
01/07/2001,Japan,36.2,138.3,2,Production country appearances in KVIFF catalogue
01/07/2001,Kyrgyzstan,41.2,74.8,1,Production country appearances in KVIFF catalogue
01/07/2001,Latvia,56.9,24.6,1,Production country appearances in KVIFF catalogue
01/07/2001,Lithuania,55.2,23.9,1,Production country appearances in KVIFF catalogue
01/07/2001,Mexico,23.6,-102.5,3,Production country appearances in KVIFF catalogue
01/07/2001,Netherlands,52.1,5.3,2,Production country appearances in KVIFF catalogue
01/07/2001,North Macedonia,41.6,21.7,1,Production country appearances in KVIFF catalogue
01/07/2001,Norway,60.5,8.5,3,Production country appearances in KVIFF catalogue
01/07/2001,Peru,-9.2,-75,1,Production country appearances in KVIFF catalogue
01/07/2001,Poland,52,19.1,9,Production country appearances in KVIFF catalogue
01/07/2001,Portugal,39.4,-8.2,2,Production country appearances in KVIFF catalogue
01/07/2001,Romania,45.9,24.9,2,Production country appearances in KVIFF catalogue
01/07/2001,Russia,61.5,105.3,17,Production country appearances in KVIFF catalogue
01/07/2001,Singapore,1.35,103.8,1,Production country appearances in KVIFF catalogue
01/07/2001,Slovenia,46.2,14.9,3,Production country appearances in KVIFF catalogue
01/07/2001,South Korea,36.5,127.8,29,Production country appearances in KVIFF catalogue
01/07/2001,Spain,40.5,-3.7,15,Production country appearances in KVIFF catalogue
01/07/2001,Sweden,60.1,18.6,5,Production country appearances in KVIFF catalogue
01/07/2001,Switzerland,46.8,8.2,4,Production country appearances in KVIFF catalogue
