Date,Country,Latitude,Longitude,Production country appearances,Metric
01/07/1992,Australia,-25.3,133.8,1,Production country appearances in KVIFF catalogue
01/07/1992,Austria,47.5,14.5,1,Production country appearances in KVIFF catalogue
01/07/1992,Belgium,50.5,4.5,2,Production country appearances in KVIFF catalogue
01/07/1992,Canada,56.1,-106.3,1,Production country appearances in KVIFF catalogue
01/07/1992,Czechoslovakia,49.8,15,1,Production country appearances in KVIFF catalogue
01/07/1992,Finland,61.9,25.7,1,Production country appearances in KVIFF catalogue
01/07/1992,France,46.2,2.2,3,Production country appearances in KVIFF catalogue
01/07/1992,Germany,51.2,10.4,1,Production country appearances in KVIFF catalogue
01/07/1992,Hungary,47.2,19.5,1,Production country appearances in KVIFF catalogue
01/07/1992,Iran,32.4,53.7,1,Production country appearances in KVIFF catalogue
01/07/1992,Lithuania,55.2,23.9,1,Production country appearances in KVIFF catalogue
01/07/1992,Netherlands,52.1,5.3,1,Production country appearances in KVIFF catalogue
01/07/1992,Russia,61.5,105.3,2,Production country appearances in KVIFF catalogue
01/07/1992,South Korea,36.5,127.8,1,Production country appearances in KVIFF catalogue
01/07/1992,Spain,40.5,-3.7,1,Production country appearances in KVIFF catalogue
01/07/1992,Turkey,39,35.2,1,Production country appearances in KVIFF catalogue
01/07/1994,Australia,-25.3,133.8,1,Production country appearances in KVIFF catalogue
01/07/1994,Austria,47.5,14.5,1,Production country appearances in KVIFF catalogue
01/07/1994,Bulgaria,42.7,25.5,1,Production country appearances in KVIFF catalogue
01/07/1994,Canada,56.1,-106.3,5,Production country appearances in KVIFF catalogue
01/07/1994,China,35.9,104.2,2,Production country appearances in KVIFF catalogue
01/07/1994,Croatia,45.1,15.2,1,Production country appearances in KVIFF catalogue
01/07/1994,Cuba,21.5,-79.4,2,Production country appearances in KVIFF catalogue
01/07/1994,Czech Republic,49.8,15.5,46,Production country appearances in KVIFF catalogue
01/07/1994,Finland,61.9,25.7,2,Production country appearances in KVIFF catalogue
01/07/1994,France,46.2,2.2,10,Production country appearances in KVIFF catalogue
01/07/1994,Georgia,42.3,43.4,1,Production country appearances in KVIFF catalogue
01/07/1994,Germany,51.2,10.4,6,Production country appearances in KVIFF catalogue
01/07/1994,Hungary,47.2,19.5,8,Production country appearances in KVIFF catalogue
01/07/1994,India,20.6,78.9,2,Production country appearances in KVIFF catalogue
01/07/1994,Ireland,53.4,-8.2,2,Production country appearances in KVIFF catalogue
01/07/1994,Italy,41.9,12.6,10,Production country appearances in KVIFF catalogue
01/07/1994,Japan,36.2,138.3,1,Production country appearances in KVIFF catalogue
01/07/1994,Kazakhstan,48,66.9,2,Production country appearances in KVIFF catalogue
01/07/1994,Mexico,23.6,-102.5,1,Production country appearances in KVIFF catalogue
01/07/1994,Monaco,43.7,7.4,1,Production country appearances in KVIFF catalogue
01/07/1994,Netherlands,52.1,5.3,1,Production country appearances in KVIFF catalogue
01/07/1994,Norway,60.5,8.5,1,Production country appearances in KVIFF catalogue
01/07/1994,Poland,52,19.1,3,Production country appearances in KVIFF catalogue
01/07/1994,Romania,45.9,24.9,1,Production country appearances in KVIFF catalogue
01/07/1994,Russia,61.5,105.3,16,Production country appearances in KVIFF catalogue
01/07/1994,Slovak Republic,48.7,19.7,2,Production country appearances in KVIFF catalogue
01/07/1994,Slovenia,46.2,14.9,1,Production country appearances in KVIFF catalogue
01/07/1994,Spain,40.5,-3.7,11,Production country appearances in KVIFF catalogue
01/07/1994,Switzerland,46.8,8.2,2,Production country appearances in KVIFF catalogue
01/07/1994,Taiwan,23.7,121,1,Production country appearances in KVIFF catalogue
01/07/1994,United Kingdom,55.4,-3.4,12,Production country appearances in KVIFF catalogue
01/07/1994,USA,39.8,-98.6,14,Production country appearances in KVIFF catalogue
01/07/1994,Vietnam,14.1,108.3,1,Production country appearances in KVIFF catalogue
01/07/1994,Yugoslavia,44,20.9,2,Production country appearances in KVIFF catalogue
01/07/1995,Argentina,-38.4,-63.6,2,Production country appearances in KVIFF catalogue
01/07/1995,Australia,-25.3,133.8,1,Production country appearances in KVIFF catalogue
01/07/1995,Austria,47.5,14.5,3,Production country appearances in KVIFF catalogue
01/07/1995,Belgium,50.5,4.5,2,Production country appearances in KVIFF catalogue
01/07/1995,Brazil,-14.2,-51.9,1,Production country appearances in KVIFF catalogue
01/07/1995,Canada,56.1,-106.3,5,Production country appearances in KVIFF catalogue
01/07/1995,China,35.9,104.2,1,Production country appearances in KVIFF catalogue
01/07/1995,Cyprus,35.1,33.4,1,Production country appearances in KVIFF catalogue
01/07/1995,Czech Republic,49.8,15.5,16,Production country appearances in KVIFF catalogue
01/07/1995,Czechoslovakia,49.8,15,16,Production country appearances in KVIFF catalogue
01/07/1995,Denmark,56.3,9.5,2,Production country appearances in KVIFF catalogue
01/07/1995,Finland,61.9,25.7,6,Production country appearances in KVIFF catalogue
01/07/1995,France,46.2,2.2,13,Production country appearances in KVIFF catalogue
