bg-color,Poslanec/kyně,Neziskovka,Účetní dokumenty ve Sbírce listin?
brand.1,Věra Adámková,Nadační fond Healthy Heart,chybějí
brand.1,Věra Adámková,"Myslivecké sdružení Světice, z.s.",chybějí
brand.1,Věra Adámková,LÉKAŘI PROTI VÁLKÁM z.s.,chybějí
brand.1,František Bureš,"Street Workout Kladno, z.s.",chybějí
brand.1,Denis Doksanský,"Křesťanské centrum Sion, z.s.",chybějí
brand.1,Tomáš Kohoutek,"Hospodářská a sociální rada okresu Děčín, z.s.",chybějí
brand.1,Ivana Mádlová,Spolek Popraskané bubliny,chybějí
brand.1,Ivana Mádlová,LÉKAŘI PROTI VÁLKÁM z.s.,chybějí
brand.1,Marek Novák,SK Zlín 1931 z.s.,chybějí
brand.1,Marek Novák,"Česko-tuniská obchodní komora vzájemné spolupráce, z.s.",chybějí
brand.1,Marek Novák,"Česko-rakouská obchodní a průmyslová komora, z.s.",chybějí
brand.1,Pavel Outrata,"Společenství vlastníků domu Provazníkova-Klecandova, Brno",chybějí
brand.1,Pavel Růžička,"Myslivecké sdružení Bitozeves, z.s.",chybějí
brand.1,Petr Sadovský,"Jezdecký klub Gotex, z.s..",chybějí
brand.1,David Štolpa,"Kanalizace Štítarský les, z.s.",chybějí
brand.1,Josef Váňa,"Česká asociace steeplechase, z.s.",chybějí
brand.1,Adam Vojtěch,Randova nadace při Spolku českých právníků Všehrd,chybějí
brandOrange.1,Martin Kolovratník,Spolek pro rozvoj dopravy z.s.,chybějí jen poslední
brandOrange.1,Marek Novák,"Fotbalový club Zlín, z.s.",chybějí jen poslední
brandOrange.1,Václav Trojan,"Český konopný klastr, z. s.",chybějí jen poslední
brandOrange.1,Denis Doksanský,"Sion, z.s.",chybějí jen poslední
brandOrange.1,Denis Doksanský,"Sion - Nová generace, z.s.",chybějí jen poslední
brandOrange.1,Jiřina Klčová,Nadace pro rozvoj města Pardubic ,chybějí jen poslední
brandEmeraldMint.0,Jana Berkovcová,Nadační fond Regionální fotbalové akademie Královéhradeckého kraje ,ok
brandEmeraldMint.0,Karel Havlíček,"Institut pro politiku a společnost, z.s.",ok
brandEmeraldMint.0,Jiřina Klčová,"Regionální rozvojová agentura Pardubického kraje, ve zkrácené formě - RRA PK",ok
brandEmeraldMint.0,Tomáš Kohoutek,"Hospodářská a sociální rada Ústeckého kraje, z.s.",ok
brandEmeraldMint.0,Vladimír Kolek,"POHOPARK, z. s. ",ok
brandEmeraldMint.0,Vladimír Kolek,Bytové družstvo U zahrádek,ok
brandEmeraldMint.0,Martin Kolovratník,"Společenství pro dům čp. 667  Smetanova, Sezemice ",ok
brandEmeraldMint.0,Petr Kowanda,"Mělnické kulturní centrum, z.ú.",ok
brandEmeraldMint.0,Jiří Mašek,Zdravotnický nadační fond Královéhradeckého kraje ,ok
brandEmeraldMint.0,Renata Oulehlová,Nadace FILM-FESTIVAL KARLOVY VARY,ok
brandEmeraldMint.0,Patrik Pařil,Společenství vlastníků pro dům Znojemská 1115 Pohořelice,ok
brandEmeraldMint.0,Robert Stržínek,"Tenisový klub DEZA Valašské Meziříčí, z.s.",ok
brandEmeraldMint.0,Jiří Svoboda,"JEZDECKÝ KLUB FRANCOUZSKÉHO KLUSÁKA, z.s.",ok
brandEmeraldMint.0,Helena Válková,Družstvo Nárožní dům Plavecká 12,ok
brandEmeraldMint.0,Helena Válková,Společenství domu Plavecká 400/12,ok
brandEmeraldMint.0,Petr Vrána,HC ZUBR Přerov z. s.,ok
brandEmeraldMint.0,Miroslav Žbánek,Svaz měst a obcí České republiky,ok
background.1,Denis Doksanský,"FBC SION - HRADEČTÍ LVI, Z.S.",nová organizace
background.1,Michal Ratiborský,"VOLNÁ MORAVSKÁ BRÁNA, z. s.",nová organizace
background.1,Michal Ratiborský,Záchranná stanice pod Hradem z. ú.,nová organizace
