bg-color,Poslanec/kyně,Neziskovka,Účetní dokumenty ve Sbírce listin?
brand.1,Petr Macinka,"Klub motoristů, z.s.",chybějí
brand.1,Petr Macinka,Centrum pro výzkum terorismu z.s.,chybějí
brand.1,Gabriela Sedláčková,PLURALIS z.s. ,chybějí
brand.1,Renata Vesecká,"Czech-Chinese Literary Publication Exchange Centre, z.s. ",chybějí
background.1,Vojtěch Krňanský,"Společenství vlastníků jednotek v domě č.p. 21, ulice Osady Ležáků, Chrast",nová organizace
brand.1,Matěj Gregor,Odchod z.s. ,chybějí
brand.1,Filip Turek,"Jaguar klub České republiky, z.s. ",chybějí
brand.1,Filip Turek,"Aston Martin klub České republiky, z. s.",chybějí
brand.1,Libor Vondráček,"Mladí Svobodní, z.s.",chybějí
brandOrange.1,Miroslav Ševčík,Memoriál J. Odložila z.s.,chybějí jen poslední
brandTeal.0,Jaroslav Foldyna,DTJ Podmokly z.s.,ok
brandTeal.0,Jindřich Rajchl,"Česko proti bídě, z.s.",ok
brand.1,Zuzana Majerová,"SK ZDARSKI, z.s. ",chybějí
brand.1,Věra Adámková,Nadační fond Healthy Heart,chybějí
brand.1,Věra Adámková,"Myslivecké sdružení Světice, z.s.",chybějí
brand.1,Věra Adámková,LÉKAŘI PROTI VÁLKÁM z.s.,chybějí
brandTeal.0,Jana Berkovcová,Nadační fond Regionální fotbalové akademie Královéhradeckého kraje ,ok
brand.1,František Bureš,"Street Workout Kladno, z.s.",chybějí
brand.1,Denis Doksanský,"Křesťanské centrum Sion, z.s.",chybějí
background.1,Denis Doksanský,"FBC SION - HRADEČTÍ LVI, Z.S.",nová organizace
brandOrange.1,Denis Doksanský,"Sion, z.s.",chybějí jen poslední
brandOrange.1,Denis Doksanský,"Sion - Nová generace, z.s.",chybějí jen poslední
brandEmeraldMint.0,Karel Havlíček,"Institut pro politiku a společnost, z.s.",ok
brandOrange.1,Jiřina Klčová,Nadace pro rozvoj města Pardubic ,chybějí jen poslední
brandEmeraldMint.0,Jiřina Klčová,"Regionální rozvojová agentura Pardubického kraje, ve zkrácené formě - RRA PK",ok
brand.1,Tomáš Kohoutek,"Hospodářská a sociální rada okresu Děčín, z.s.",chybějí
brandEmeraldMint.0,Tomáš Kohoutek,"Hospodářská a sociální rada Ústeckého kraje, z.s.",ok
brandEmeraldMint.0,Vladimír Kolek,"POHOPARK, z. s. ",ok
brandEmeraldMint.0,Vladimír Kolek,Bytové družstvo U zahrádek,ok
brandOrange.1,Martin Kolovratník,Spolek pro rozvoj dopravy z.s.,chybějí jen poslední
brandEmeraldMint.0,Martin Kolovratník,"Společenství pro dům čp. 667  Smetanova, Sezemice ",ok
brandEmeraldMint.0,Petr Kowanda,"Mělnické kulturní centrum, z.ú.",ok
brand.1,Ivana Mádlová,Spolek Popraskané bubliny,chybějí
brand.1,Ivana Mádlová,LÉKAŘI PROTI VÁLKÁM z.s.,chybějí
brandEmeraldMint.0,Jiří Mašek,Zdravotnický nadační fond Královéhradeckého kraje ,ok
brand.1,Marek Novák,SK Zlín 1931 z.s.,chybějí
brand.1,Marek Novák,"Česko-tuniská obchodní komora vzájemné spolupráce, z.s.",chybějí
brandOrange.1,Marek Novák,"Fotbalový club Zlín, z.s.",chybějí jen poslední
brand.1,Marek Novák,"Česko-rakouská obchodní a průmyslová komora, z.s.",chybějí
brandEmeraldMint.0,Renata Oulehlová,Nadace FILM-FESTIVAL KARLOVY VARY,ok
brand.1,Pavel Outrata,"Společenství vlastníků domu Provazníkova-Klecandova, Brno",chybějí
brandEmeraldMint.0,Patrik Pařil,Společenství vlastníků pro dům Znojemská 1115 Pohořelice,ok
background.1,Michal Ratiborský,"VOLNÁ MORAVSKÁ BRÁNA, z. s.",nová organizace
background.1,Michal Ratiborský,Záchranná stanice pod Hradem z. ú.,nová organizace
brand.1,Pavel Růžička,"Myslivecké sdružení Bitozeves, z.s.",chybějí
brand.1,Petr Sadovský,"Jezdecký klub Gotex, z.s..",chybějí
brandEmeraldMint.0,Robert Stržínek,"Tenisový klub DEZA Valašské Meziříčí, z.s.",ok
brandEmeraldMint.0,Jiří Svoboda,"JEZDECKÝ KLUB FRANCOUZSKÉHO KLUSÁKA, z.s.",ok
brand.1,David Štolpa,"Kanalizace Štítarský les, z.s.",chybějí
brandOrange.1,Václav Trojan,"Český konopný klastr, z. s.",chybějí jen poslední
brandEmeraldMint.0,Helena Válková,Družstvo Nárožní dům Plavecká 12,ok
brandEmeraldMint.0,Helena Válková,Společenství domu Plavecká 400/12,ok
brand.1,Josef Váňa,"Česká asociace steeplechase, z.s.",chybějí
brand.1,Adam Vojtěch,Randova nadace při Spolku českých právníků Všehrd,chybějí
brandEmeraldMint.0,Petr Vrána,HC ZUBR Přerov z. s.,ok
brandEmeraldMint.0,Miroslav Žbánek,Svaz měst a obcí České republiky,ok
