bg-color,Poslanec/kyně,Neziskovka,Účetní dokumenty ve Sbírce listin?
brand.1,Petr Macinka,"Klub motoristů, z.s.",chybějí
brand.1,Petr Macinka,Centrum pro výzkum terorismu z.s.,chybějí
brand.1,Gabriela Sedláčková,PLURALIS z.s. ,chybějí
brand.1,Renata Vesecká,"Czech-Chinese Literary Publication Exchange Centre, z.s. ",chybějí
brand.1,Matěj Gregor,Odchod z.s. ,chybějí
brand.1,Filip Turek,"Jaguar klub České republiky, z.s. ",chybějí
brand.1,Filip Turek,"Aston Martin klub České republiky, z. s.",chybějí
background.1,Vojtěch Krňanský,"Společenství vlastníků jednotek v domě č.p. 21, ulice Osady Ležáků, Chrast",nová organizace
