První účast na KVIFF	Země	Latitude	Longitude	Production country appearances	Filmů celkem	Filmů celkem k danému roku	Podíl koprodukcí	Koprodukce s Českem	Kontinent	První účast na KVIFF	Zatím poslední účast na KVIFF	Nejvýraznější rok	Top koprodukční partneři	Ukázkové filmy	DetailKey	Metric
07.01.2026	Ivory Coast	7.5	-5.6	1	1	2	0 %	0	Afrika	2021	2021	2021 (1)		2021: Woman with the Knife	Ivory Coast	Production country appearances in KVIFF catalogue
07.01.2018	Kenya	0	37.9	1	1	1	0 %	0	Afrika	2018	2018	2018 (1)		2018: Rafiki	Kenya	Production country appearances in KVIFF catalogue
07.01.2014	Malawi	-13.3	34.3	1	1	1	0 %	0	Afrika	2014	2014	2014 (1)		2014: B'ella	Malawi	Production country appearances in KVIFF catalogue
07.01.2014	Mauritania	21	-10.9	1	1	1	100 %	0	Afrika	2014	2014	2014 (1)	France (1)	2014: Timbuktu	Mauritania	Production country appearances in KVIFF catalogue
07.01.1998	Morocco	31.8	-7.1	1	13	1	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2005	Morocco	31.8	-7.1	2	13	3	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2012	Morocco	31.8	-7.1	1	13	4	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2016	Morocco	31.8	-7.1	1	13	5	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2019	Morocco	31.8	-7.1	2	13	7	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2021	Morocco	31.8	-7.1	2	13	9	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
